,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,luau,-10.71,22.22,18.95,88,91,1.59,1602282591
1,mount gambier,-37.83,140.77,11.0,100,40,2.6,1602282592
2,tiksi,71.69,128.87,-4.81,95,98,4.5,1602282593
3,puerto ayora,-0.74,-90.35,23.0,73,20,8.7,1602282593
4,bengkulu,-3.8,102.27,24.38,83,100,1.52,1602282541
5,arraial do cabo,-22.97,-42.03,23.0,94,75,1.5,1602282596
6,upernavik,72.79,-56.15,1.43,82,44,4.58,1602282597
7,busselton,-33.65,115.33,11.11,78,84,2.89,1602282598
8,thompson,55.74,-97.86,-2.0,68,90,4.1,1602282544
9,yellowknife,62.46,-114.35,6.0,100,90,5.7,1602282601
10,vanavara,60.34,102.28,-4.79,95,99,4.15,1602282602
11,bluff,-46.6,168.33,11.7,63,1,2.24,1602282603
12,kaeo,-35.1,173.78,17.22,67,58,6.26,1602282605
13,lazaro cardenas,17.96,-102.2,28.83,70,38,2.21,1602282606
14,nahavand,34.19,48.38,4.72,85,8,2.18,1602282607
15,ushuaia,-54.8,-68.3,7.0,87,90,15.4,1602282449
16,chuy,-33.7,-53.46,10.57,80,33,3.64,1602282609
17,pevek,69.7,170.31,0.58,91,100,8.61,1602282610
18,holoby,51.09,25.01,8.89,98,90,4.47,1602282611
19,hilo,19.73,-155.09,31.0,48,1,5.1,1602282614
20,cherskiy,68.75,161.3,-4.31,97,98,2.9,1602282615
21,tete,-16.16,33.59,28.89,48,42,1.5,1602282617
22,mbuguni,-3.57,36.95,23.0,64,20,5.1,1602282618
23,port-gentil,-0.72,8.78,26.0,83,75,4.6,1602282618
24,marakkanam,12.2,79.95,26.6,83,100,4.27,1602282619
25,los lunas,34.81,-106.73,31.67,9,20,2.1,1602282509
26,bredasdorp,-34.53,20.04,11.0,76,2,2.6,1602282623
27,biedenkopf,50.92,8.53,8.89,97,87,1.47,1602282623
28,guerrero negro,27.98,-114.06,23.83,64,0,8.21,1602282624
29,albany,42.6,-73.97,13.33,63,3,1.25,1602282625
30,santa isabel,-23.32,-46.22,20.0,93,75,2.07,1602282626
31,cape town,-33.93,18.42,13.89,62,20,5.1,1602282378
32,rikitea,-23.12,-134.97,23.32,77,0,6.51,1602282628
33,punta arenas,-53.15,-70.92,10.0,61,75,9.3,1602282485
34,codrington,-38.27,141.97,13.03,88,42,4.5,1602282629
